#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R	taxonomy
5898bcf6960dca63966d7ad23fa9b9d0fd74a768	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	156.0	17272.0	0.0	17.0	0.0	12.0	0.0	0.0	0.0	10.0	0.0	77.0	0.0	51.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; s__Cortinarius_sp; sh__SH2052311.09FU
75175157a10c7fd5e6bc0e283da2dccd01a54578	0.0	0.0	0.0	253.0	0.0	0.0	178.0	0.0	146.0	2247.0	0.0	4658.0	0.0	7.0	0.0	15.0	0.0	5.0	0.0	12.0	0.0	6.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	60.0	331.0	37.0	3.0	0.0	0.0	8.0	2.0	8.0	0.0	0.0	0.0	357.0	140.0	174.0	23.0	0.0	493.0	247.0	219.0	33.0	74.0	11.0	146.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliales_fam_Incertae_sedis; g__Atheliales_gen_Incertae_sedis; s__Atheliales_sp; sh__SH1456038.09FU
bff999e442d725d50682e60901a3bdb6f3b83630	0.0	3017.0	0.0	0.0	590.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527.0	0.0	9.0	0.0	0.0	10.0	0.0	0.0	11.0	0.0	137.0	0.0	148.0	0.0	2135.0	0.0	94.0	192.0	39.0	0.0	111.0	0.0	1032.0	20.0	41.0	94.0	51.0	0.0	0.0	0.0	0.0	0.0	76.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	1108.0	8.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_sp
4ae7cd433419a3ae60cbbceadb41eab04d665ce1	0.0	0.0	43.0	45.0	0.0	731.0	0.0	0.0	0.0	7.0	387.0	5822.0	0.0	7.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	689.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	44.0	0.0	134.0	16.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula
99b68a7dbaae3ab70b092190f91f24dcd9319085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	0.0	180.0	0.0	85.0	0.0	283.0	0.0	126.0	63.0	22.0	83.0	0.0	543.0	126.0	199.0	95.0	372.0	69.0	87.0	159.0	793.0	0.0	349.0	906.0	918.0	51.0	0.0	0.0	2.0	0.0	119.0	107.0	16.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp; sh__SH1899540.09FU
fd2a1998ae3f386d0e155f615ce9b57826e2d437	199.0	95.0	50.0	21.0	113.0	182.0	125.0	213.0	409.0	1021.0	119.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	15.0	0.0	30.0	0.0	0.0	0.0	0.0	18.0	23.0	169.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	47.0	125.0	47.0	111.0	188.0	73.0	38.0	178.0	12.0	16.0	0.0	12.0	48.0	185.0	0.0	0.0	458.0	0.0	60.0	29.0	109.0	13.0	195.0	33.0	0.0	0.0	62.0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Wilcoxina; s__Wilcoxina_sp; sh__SH1347164.09FU
f2100dbfc99b33b22102c4d2fc2a05be96e8c2e4	0.0	268.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	22.0	0.0	0.0	0.0	0.0	37.0	0.0	14.0	90.0	0.0	374.0	0.0	57.0	77.0	11.0	293.0	97.0	0.0	30.0	256.0	18.0	0.0	375.0	0.0	170.0	0.0	20.0	1632.0	0.0	64.0	0.0	0.0	63.0	0.0	0.0	203.0	58.0	0.0	216.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp
b5e437256ba81cd8988fde21e884028b6ce7a2e5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	3635.0	0.0	634.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp
93d47786183f0c786e4f3df7dee20e321a2fc2e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	4602.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Bankeraceae; g__Hydnellum; s__Hydnellum_spongiosipes; sh__SH1910308.09FU
7c53627870f332e3b80890a8e60079146babcaf2	0.0	126.0	0.0	198.0	0.0	0.0	0.0	68.0	0.0	2028.0	403.0	715.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	19.0	0.0	15.0	0.0	54.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	553.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	15.0	0.0	0.0	19.0	0.0	55.0	56.0	23.0	0.0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha; s__Hyaloscypha_sp
