Taxon,color
Russula,#7FC97F
Inocybe,#BEAED4
Sebacina,#FDC086
Cortinarius,#FFFF99
Piloderma,#386CB0
Tomentella,#F0027F
Hygrophorus,#BF5B17
Tricholoma,#666666
Amanita,#1B9E77
Hydnellum,#D95F02
Hyaloscypha,#7570B3
Clavulina,#E7298A
Mortierella,#66A61E
Umbelopsis,#E6AB02
Humaria,#A6761D
Mycena,#666666
Phaeocollybia,#A6CEE3
Pseudocraterellus,#1F78B4
Laccaria,#B2DF8A
Wilcoxina,#33A02C
Thelephora,#FB9A99
Cladophialophora,#E31A1C
Pseudotomentella,#FDBF6F
Thelephoraceae_gen_Incertae_sedis,#FF7F00
Pachyphlodes,#CAB2D6
Podila,#6A3D9A
Geoglossum,#FFFF99
Clavulinopsis,#B15928
Sistotrema,#FBB4AE
Hygrocybe,#B3CDE3
Cenococcum,#CCEBC5
Helvellosebacina,#DECBE4
Lactarius,#FED9A6
Chaetothyriales_gen_Incertae_sedis,#FFFFCC
Amphinema,#E5D8BD
Leucoagaricus,#FDDAEC
Rhexocercosporidium,#F2F2F2
Oidiodendron,#B3E2CD
Hemimycena,#FDCDAC
Exophiala,#CBD5E8
Lyophyllum,#F4CAE4
Membranomyces,#E6F5C9
Glutinoglossum,#FFF2AE
Mycenaceae_gen_Incertae_sedis,#F1E2CC
Tuber,#CCCCCC
Linnemannia,#E41A1C
Leohumicola,#377EB8
Elaphomyces,#4DAF4A
Leptodontidium,#984EA3
Saitozyma,#FF7F00
