pol,Sitio,Transecto,place,Latitude,Longitude
1,1,1,Tetlanohcan 1,19.2477784275761,-98.1125385318346
1,1,2,Tetlanohcan 1,19.2461169052222,-98.11102341649
1,1,3,Tetlanohcan 1,19.247683894214,-98.1105909356885
2,1,1,Tizatlán,19.36706352155,-98.2340833029968
2,1,2,Tizatlán,19.3676824161257,-98.2331300299798
2,1,3,Tizatlán,19.3668288741429,-98.2336856299798
3,1,1,Hueyotlipan,19.4562528914446,-98.3543825606678
3,1,2,Hueyotlipan,19.4550408096042,-98.3539292876508
3,1,3,Hueyotlipan,19.4528513311341,-98.3554229453232
4,1,1,Tandi-Chala,19.4698260549194,-98.4735214606676
4,1,2,Tandi-Chala,19.4710028684284,-98.4748800299783
4,1,3,Tandi-Chala,19.4699472700762,-98.4754274318314
5,1,1,"Piedra Canteada de San Felipe, Hidalgo",19.4584649719391,-98.6023270606677
5,1,2,"Piedra Canteada de San Felipe, Hidalgo",19.458497868216,-98.6028737876508
5,1,3,"Piedra Canteada de San Felipe, Hidalgo",19.4581015011211,-98.5976792876507
6,1,1,Santa Ana,19.2594097685882,-98.621145245326
6,1,2,Santa Ana,19.2598718395217,-98.6207778029984
6,1,3,Santa Ana,19.2603996387716,-98.6197114741621
1,2,1,Tetlanohcan 2,19.246010759214,-98.0933907588177
1,2,2,Tetlanohcan 2,19.2462104342884,-98.093754389507
1,2,3,Tetlanohcan 2,19.247548686172,-98.0933523299816
2,2,1,Tepeticpac,19.361328883366,-98.2458289164883
2,2,2,Tepeticpac,19.3613818169868,-98.2451237876522
2,2,3,Tepeticpac,19.3633792480969,-98.2467354625222
3,2,1,La Caridad,19.423149406528,-98.3610170741598
3,2,2,La Caridad,19.4226922340547,-98.360805602996
3,2,3,La Caridad,19.4226291707001,-98.3605770606682
4,2,1,San Francisco Mitepec,19.45620231055,-98.4599722029954
4,2,2,San Francisco Mitepec,19.4572908059542,-98.4589936606677
4,2,3,San Francisco Mitepec,19.4573639897114,-98.4567007453231
5,2,1,Paraje El Madroño,19.4739397940239,-98.5868416011421
5,2,2,Paraje El Madroño,19.4774927434288,-98.5878118453228
5,2,3,Paraje El Madroño,19.4769573740335,-98.5895341453228
6,2,1,Santa Ana,19.2764247339156,-98.6108781741619
6,2,2,Santa Ana,19.2759702070938,-98.6106881606704
6,2,3,Santa Ana,19.2769525332628,-98.6099122164896
