Sample ID	Frequency
122R	41834
323D	38936
411D	32040
422R	24856
511R	24611
123R	24560
611R	23933
111R	23026
413R	22666
211R	22090
222D	21017
413D	19351
422D	18253
213R	18146
522R	17505
113D	16312
311D	16178
513D	16041
511D	15735
622R	15731
221R	15029
523D	14025
313D	13247
421D	12652
311R	12208
621R	12079
113R	11964
512D	11637
221D	11476
423D	11280
223R	11278
412D	11048
313R	11016
312R	10926
513R	9967
423R	9858
613D	9741
411R	9540
322R	9095
213D	9065
112D	8996
111D	8862
312D	8673
623R	8640
211D	8493
412R	8432
122D	7930
421R	7744
613R	7704
321D	7644
523R	7541
512R	7138
212R	6981
123D	6897
623D	6735
323R	6707
112R	6588
622D	6553
621D	6290
322D	6124
521R	5410
223D	4496
121R	4275
212D	4204
522D	4107
321R	3949
612D	3944
612R	3554
611D	3394
222R	3317
521D	3282
121D	2313
