"","P1_OC","P2_OC","P3_OC","P4_OC","P5_OC","P6_OC","P1_OIM","P2_OIM","P3_OIM","P4_OIM","P5_OIM","P6_OIM","P1_OISM","P2_OISM","P3_OISM","P4_OISM","P5_OISM","P6_OISM","P1_OJIS","P2_OJIS","P3_OJIS","P4_OJIS","P5_OJIS","P6_OJIS","P1_OISS","P2_OISS","P3_OISS","P4_OISS","P5_OISS","P6_OISS","P1_AC","P2_AC","P3_AC","P4_AC","P5_AC","P6_AC","P1_AIM","P2_AIM","P3_AIM","P4_AIM","P5_AIM","P6_AIM","P1_AISC","P2_AISC","P3_AISC","P4_AISC","P5_AISC","P6_AISC","P1_AJIS","P2_AJIS","P3_AJIS","P4_AJIS","P5_AJIS","P6_AJIS"
"Russula",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,12,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Inocybe",9,9,8,8,9,9,9,9,8,8,9,9,9,9,8,8,9,9,9,9,8,8,9,9,0,0,0,0,0,0,9,9,8,9,9,9,9,9,8,8,9,9,9,9,8,9,9,9,9,9,8,8,9,9
"Sebacina",7,8,8,8,8,7,7,8,8,8,8,7,7,8,8,8,8,7,7,8,8,8,8,7,0,0,0,0,0,0,7,8,8,8,8,8,7,8,8,8,8,7,7,8,8,8,8,8,7,8,8,8,8,7
"Tomentella",6,7,7,7,7,7,7,8,7,8,8,8,7,8,8,8,8,8,7,8,7,8,8,8,0,0,0,0,0,0,6,7,7,8,7,7,7,8,8,8,8,8,7,8,7,8,8,8,7,8,8,8,8,8
"Cortinarius",8,7,7,7,6,7,8,7,7,7,6,7,8,7,7,7,6,7,8,7,7,7,6,7,0,0,0,0,0,0,8,7,7,7,6,7,8,7,7,7,6,7,8,7,7,7,7,7,8,7,7,7,6,7
"Piloderma",7,5,6,4,6,8,7,5,7,5,7,8,7,5,7,5,7,8,7,5,7,5,7,8,0,0,0,0,0,0,8,5,7,4,7,8,8,5,7,5,7,8,8,5,7,4,8,8,8,5,7,5,7,8
"Tricholoma",8,6,6,5,5,5,8,5,7,5,5,5,8,5,7,5,5,5,8,5,7,5,5,5,0,0,0,0,0,0,8,6,7,5,6,5,8,5,7,5,5,5,8,5,8,5,6,5,8,5,7,5,5,5
"Mortierella",5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,9,7,7,7,8,9,5,5,5,5,6,7,5,5,5,5,5,6,5,5,5,5,5,7,5,5,5,5,5,6
"Cenococcum",6,7,7,7,6,5,6,7,7,7,6,5,6,7,7,7,6,5,6,7,7,7,6,5,0,0,0,0,0,0,4,5,5,5,5,4,6,7,7,7,7,5,5,6,6,6,6,5,6,7,7,7,7,6
"Hygrophorus",7,5,6,6,6,6,7,5,6,6,6,6,7,5,6,6,6,6,7,5,6,6,6,6,0,0,0,0,0,0,7,5,6,7,7,7,7,5,6,6,6,6,7,5,6,7,7,7,7,5,6,6,6,6
"Hyaloscypha",7,5,5,5,6,6,7,5,5,5,6,6,7,5,5,5,6,6,7,5,5,5,6,6,0,0,0,0,0,0,7,5,5,5,6,6,7,5,5,5,6,6,7,5,5,5,6,6,7,5,5,5,6,6
"Hydnellum",7,6,4,5,4,5,7,7,4,5,4,5,7,7,4,5,4,5,7,7,4,5,4,5,7,8,3,6,0,5,7,7,4,5,5,5,7,7,4,5,4,5,7,7,3,5,5,5,7,7,4,5,4,5
"Amanita",6,5,6,6,5,5,6,5,6,6,5,5,6,5,6,6,5,5,6,5,6,6,5,5,4,0,0,0,4,6,6,5,6,7,5,6,6,5,6,6,5,5,6,5,6,7,5,6,6,5,6,6,5,5
"Clavulina",6,5,6,6,5,5,6,5,6,6,5,5,6,5,6,6,5,5,6,5,6,6,5,5,5,0,5,5,6,5,7,5,6,7,5,5,6,5,6,6,5,5,7,5,6,6,5,5,6,5,6,6,5,5
"Pseudocraterellus",0,0,0,0,0,0,0,6,7,5,0,0,0,6,7,5,0,0,0,6,7,5,0,0,3,8,8,6,0,0,0,7,7,4,0,0,0,6,7,5,0,0,0,6,7,5,0,0,0,6,7,5,0,0
