,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.2366,402,-0.0115213485445209,0.362,0.362
D.cl.2,0.7098,416,-0.00666457448213521,0.43,0.86
D.cl.3,1.183,298,-0.00260437048582365,0.463,1
D.cl.4,1.6562,250,0.0549567634163177,0.021,0.084
D.cl.5,2.1294,228,0.0138170830238645,0.243,1
D.cl.6,2.6026,210,-0.0307752170247308,0.109,0.654
D.cl.7,3.0758,130,-0.0116676846120984,0.339,1
D.cl.8,3.549,208,-0.0456740470053274,0.065,0.52
D.cl.9,4.0222,160,-0.0315531315057231,0.126,1
D.cl.10,4.4954,224,-0.0353339713818678,0.129,1
D.cl.11,4.9686,160,-0.0600083262310391,0.012,0.132
D.cl.12,5.4418,218,-0.028066409844713,0.134,1
D.cl.13,5.915,192,0.0083860756050271,0.379,1
D.cl.14,6.3882,228,0.0107672190968661,0.322,1
D.cl.15,6.8614,160,0.00176172067883982,0.489,1
D.cl.16,7.3346,238,-0.0381408134252217,0.067,1
D.cl.17,7.8078,180,0.00970188197501372,0.366,1
D.cl.18,8.281,190,0.0210960177067771,0.234,1
D.cl.19,8.7542,118,0.012505543727411,0.338,1
D.cl.20,9.2274,146,0.00858452789449566,0.378,1
D.cl.21,9.7006,82,0.0106802281218508,0.337,1
D.cl.22,10.1738,92,0.0541026182543119,0.025,0.55
D.cl.23,10.647,62,0.0483690468761881,0.017,0.391
D.cl.24,11.1202,80,0.0182527824106512,0.255,1
D.cl.25,11.5934,74,0.00590313772880803,0.443,1
D.cl.26,12.0666,86,-0.000440747216130751,0.498,1
D.cl.27,12.5398,64,0.00583975298571465,0.456,1
D.cl.28,13.013,22,0.0657329967585524,0.004,0.112
D.cl.29,13.4862,30,0.00554284638138252,0.439,1
D.cl.30,13.9594,16,0.0300379502893278,0.118,1
D.cl.31,14.4326,20,0.00617545168733735,0.45,1
D.cl.32,14.9058,12,0.0105107980673255,0.344,1
D.cl.33,15.379,10,0.0234389538499759,0.191,1
D.cl.34,15.8522,16,-0.00582169361315495,0.411,1
D.cl.35,16.3254,30,0.0333897988248368,0.128,1
D.cl.36,16.7986,12,0.0219631294752349,0.207,1
D.cl.37,17.2718,18,0.00844983361295958,0.43,1
D.cl.38,17.745,4,-0.00581881248640327,0.354,1
D.cl.39,18.2182,6,0.0252483106839717,0.134,1
D.cl.40,18.6914,8,0.0234827375624088,0.156,1
D.cl.41,19.1646,0,NA,NA,NA
D.cl.42,19.6378,0,NA,NA,NA
D.cl.43,20.111,2,0.00338534096137562,0.455,1
D.cl.44,20.5842,0,NA,NA,NA
D.cl.45,21.0574,4,0.00359294064910165,0.452,NA
D.cl.46,21.5306,4,0.000315991958171731,0.506,NA
D.cl.47,22.0038,0,NA,NA,NA
D.cl.48,22.477,0,NA,NA,NA
D.cl.49,22.9502,0,NA,NA,NA
D.cl.50,23.4234,2,0.00753060037180628,0.37,NA
