,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.2366,402,-0.0292547009872864,0.211,0.211
D.cl.2,0.7098,416,-0.0181086250760654,0.308,0.616
D.cl.3,1.183,298,0.0438881982394608,0.054,0.162
D.cl.4,1.6562,250,0.0332281001312542,0.086,0.344
D.cl.5,2.1294,228,0.00800655689638694,0.372,1
D.cl.6,2.6026,210,0.00537994709616987,0.411,1
D.cl.7,3.0758,130,0.00502624819396442,0.464,1
D.cl.8,3.549,208,-0.0174674021770309,0.268,1
D.cl.9,4.0222,160,-0.0243055876731022,0.188,1
D.cl.10,4.4954,224,-0.0636779688650887,0.014,0.14
D.cl.11,4.9686,160,-0.0251571373103579,0.168,1
D.cl.12,5.4418,218,-0.0226250413017206,0.215,1
D.cl.13,5.915,192,-0.0133039265501237,0.278,1
D.cl.14,6.3882,228,0.0254797898999344,0.133,1
D.cl.15,6.8614,160,0.0138056697729541,0.311,1
D.cl.16,7.3346,238,-0.0489856202424764,0.017,0.272
D.cl.17,7.8078,180,-0.011181810199975,0.332,1
D.cl.18,8.281,190,0.0239720127285252,0.209,1
D.cl.19,8.7542,118,0.0307653456354194,0.113,1
D.cl.20,9.2274,146,0.0334240701576017,0.129,1
D.cl.21,9.7006,82,0.018803785817602,0.225,1
D.cl.22,10.1738,92,0.00287596822470981,0.442,1
D.cl.23,10.647,62,0.0192479092010758,0.234,1
D.cl.24,11.1202,80,-0.000310903832879891,0.497,1
D.cl.25,11.5934,74,-0.0309406335114293,0.123,1
D.cl.26,12.0666,86,-0.0155395028585375,0.304,1
D.cl.27,12.5398,64,0.00340058984497243,0.469,1
D.cl.28,13.013,22,0.0627912625712252,0.003,0.084
D.cl.29,13.4862,30,0.011885515406707,0.322,1
D.cl.30,13.9594,16,0.0307838907731377,0.128,1
D.cl.31,14.4326,20,-0.0271464001545051,0.194,1
D.cl.32,14.9058,12,0.000493818991156247,0.5,1
D.cl.33,15.379,10,0.0344021186531395,0.092,1
D.cl.34,15.8522,16,0.00350610462841636,0.456,1
D.cl.35,16.3254,30,0.0357404148295321,0.125,1
D.cl.36,16.7986,12,-0.00107615953890508,0.493,1
D.cl.37,17.2718,18,0.0223091701647939,0.266,1
D.cl.38,17.745,4,0.0142184925821831,0.276,1
D.cl.39,18.2182,6,0.0327137797903663,0.07,1
D.cl.40,18.6914,8,0.0337832588185914,0.055,1
D.cl.41,19.1646,0,NA,NA,NA
D.cl.42,19.6378,0,NA,NA,NA
D.cl.43,20.111,2,-0.00268963624899294,0.413,1
D.cl.44,20.5842,0,NA,NA,NA
D.cl.45,21.0574,4,0.0135059651548752,0.294,NA
D.cl.46,21.5306,4,0.014251336376088,0.293,NA
D.cl.47,22.0038,0,NA,NA,NA
D.cl.48,22.477,0,NA,NA,NA
D.cl.49,22.9502,0,NA,NA,NA
D.cl.50,23.4234,2,0.0103360221956235,0.302,NA
