,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.875,368,-0.0478160085963878,0.084,0.084
D.cl.2,2.625,690,-0.0442372952998616,0.147,0.294
D.cl.3,4.375,2,0.0248676152736848,0.08,0.24
D.cl.4,6.125,486,0.0108741897345137,0.36,1
D.cl.5,7.875,0,NA,NA,NA
D.cl.6,9.625,408,0.00238225809750829,0.48,1
D.cl.7,11.375,0,NA,NA,NA
D.cl.8,13.125,470,-0.0110978945862284,0.367,1
D.cl.9,14.875,0,NA,NA,NA
D.cl.10,16.625,476,-0.011677834830405,0.365,1
D.cl.11,18.375,0,NA,NA,NA
D.cl.12,20.125,340,-0.00438715358269122,0.439,1
D.cl.13,21.875,0,NA,NA,NA
D.cl.14,23.625,264,-0.0004711529667436,0.444,1
D.cl.15,25.375,0,NA,NA,NA
D.cl.16,27.125,244,-0.015018553228875,0.333,1
D.cl.17,28.875,0,NA,NA,NA
D.cl.18,30.625,256,-0.0127316544773252,0.355,1
D.cl.19,32.375,0,NA,NA,NA
D.cl.20,34.125,196,0.0332007539306617,0.169,1
D.cl.21,35.875,0,NA,NA,NA
D.cl.22,37.625,132,0.0269956908956702,0.209,1
D.cl.23,39.375,0,NA,NA,NA
D.cl.24,41.125,106,0.0486338670540153,0.059,0.826
D.cl.25,42.875,0,NA,NA,NA
D.cl.26,44.625,78,0.0145767435655248,0.314,1
D.cl.27,46.375,0,NA,NA,NA
D.cl.28,48.125,90,0.0152162706918989,0.34,NA
D.cl.29,49.875,0,NA,NA,NA
D.cl.30,51.625,72,0.0247133351192861,0.224,NA
D.cl.31,53.375,0,NA,NA,NA
D.cl.32,55.125,86,0.00705596537916236,0.435,NA
D.cl.33,56.875,0,NA,NA,NA
D.cl.34,58.625,68,0.0146579357109721,0.349,NA
D.cl.35,60.375,0,NA,NA,NA
D.cl.36,62.125,60,0.0131802026482236,0.398,NA
D.cl.37,63.875,0,NA,NA,NA
D.cl.38,65.625,70,-0.00257884288790604,0.462,NA
D.cl.39,67.375,0,NA,NA,NA
D.cl.40,69.125,64,0.0338695496379749,0.183,NA
D.cl.41,70.875,0,NA,NA,NA
D.cl.42,72.625,50,0.00509931271140101,0.478,NA
D.cl.43,74.375,0,NA,NA,NA
D.cl.44,76.125,24,0.03763135999321,0.117,NA
D.cl.45,77.875,0,NA,NA,NA
D.cl.46,79.625,4,0.0191397589548646,0.22,NA
D.cl.47,81.375,0,NA,NA,NA
D.cl.48,83.125,4,0.026576923858217,0.111,NA
D.cl.49,84.875,0,NA,NA,NA
D.cl.50,86.625,4,0.029039438245406,0.094,NA
