,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.875,368,-0.0303284202649451,0.208,0.208
D.cl.2,2.625,690,-0.0494315849153539,0.105,0.21
D.cl.3,4.375,2,0.0211666579637552,0.128,0.384
D.cl.4,6.125,486,0.0159118623484141,0.314,1
D.cl.5,7.875,0,NA,NA,NA
D.cl.6,9.625,408,0.00288359878969109,0.47,1
D.cl.7,11.375,0,NA,NA,NA
D.cl.8,13.125,470,-0.0147330646044022,0.325,1
D.cl.9,14.875,0,NA,NA,NA
D.cl.10,16.625,476,0.00267922546157272,0.486,1
D.cl.11,18.375,0,NA,NA,NA
D.cl.12,20.125,340,0.00211098829920813,0.495,1
D.cl.13,21.875,0,NA,NA,NA
D.cl.14,23.625,264,-0.00269386755822533,0.466,1
D.cl.15,25.375,0,NA,NA,NA
D.cl.16,27.125,244,-0.0412388297218921,0.111,1
D.cl.17,28.875,0,NA,NA,NA
D.cl.18,30.625,256,-0.0161082887554729,0.317,1
D.cl.19,32.375,0,NA,NA,NA
D.cl.20,34.125,196,0.0150864819258545,0.326,1
D.cl.21,35.875,0,NA,NA,NA
D.cl.22,37.625,132,-0.000389805543912407,0.475,1
D.cl.23,39.375,0,NA,NA,NA
D.cl.24,41.125,106,0.0413888994871808,0.082,1
D.cl.25,42.875,0,NA,NA,NA
D.cl.26,44.625,78,0.0170452252652964,0.319,1
D.cl.27,46.375,0,NA,NA,NA
D.cl.28,48.125,90,0.0498284077836094,0.07,NA
D.cl.29,49.875,0,NA,NA,NA
D.cl.30,51.625,72,0.00959101491010756,0.363,NA
D.cl.31,53.375,0,NA,NA,NA
D.cl.32,55.125,86,0.0122404735125698,0.349,NA
D.cl.33,56.875,0,NA,NA,NA
D.cl.34,58.625,68,0.00773428367579369,0.428,NA
D.cl.35,60.375,0,NA,NA,NA
D.cl.36,62.125,60,0.0117913767594757,0.384,NA
D.cl.37,63.875,0,NA,NA,NA
D.cl.38,65.625,70,0.0205151692086029,0.306,NA
D.cl.39,67.375,0,NA,NA,NA
D.cl.40,69.125,64,0.0239185830148589,0.279,NA
D.cl.41,70.875,0,NA,NA,NA
D.cl.42,72.625,50,0.0234514280183104,0.312,NA
D.cl.43,74.375,0,NA,NA,NA
D.cl.44,76.125,24,0.0434370643187994,0.117,NA
D.cl.45,77.875,0,NA,NA,NA
D.cl.46,79.625,4,0.0262960149962113,0.143,NA
D.cl.47,81.375,0,NA,NA,NA
D.cl.48,83.125,4,0.01831774124717,0.216,NA
D.cl.49,84.875,0,NA,NA,NA
D.cl.50,86.625,4,0.0326237396016731,0.087,NA
