,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.7593,384,-0.0344014155688658,0.153,0.153
D.cl.2,2.2779,304,-0.0284665370626029,0.209,0.418
D.cl.3,3.7965,222,0.00954420128492775,0.375,1
D.cl.4,5.3151,226,-0.036225476023318,0.089,0.356
D.cl.5,6.8337,208,-0.0271982521038575,0.161,0.805
D.cl.6,8.3523,202,-0.00279854966381094,0.426,1
D.cl.7,9.8709,152,-0.00241444456230663,0.459,1
D.cl.8,11.3895,128,0.0300567166136492,0.121,0.968
D.cl.9,12.9081,160,0.026709240805082,0.122,1
D.cl.10,14.4267,202,-0.0372053153046234,0.116,1
D.cl.11,15.9453,202,-0.00905359795960961,0.335,1
D.cl.12,17.4639,194,0.00230400786834835,0.452,1
D.cl.13,18.9825,154,0.0160715972796067,0.323,1
D.cl.14,20.5011,178,0.00314539498369836,0.433,1
D.cl.15,22.0197,134,-0.0168126303790147,0.265,1
D.cl.16,23.5383,120,-0.0335909847829179,0.118,1
D.cl.17,25.0569,104,0.0185262580939258,0.236,1
D.cl.18,26.5755,88,0.00402093659663448,0.417,1
D.cl.19,28.0941,118,-0.00748702740040375,0.422,1
D.cl.20,29.6127,176,-0.0262689969089158,0.167,1
D.cl.21,31.1313,94,-0.0351512117593421,0.08,1
D.cl.22,32.6499,86,-0.0188172794547408,0.236,1
D.cl.23,34.1685,52,0.0142468948242545,0.278,1
D.cl.24,35.6871,80,0.0038586186264578,0.454,1
D.cl.25,37.2057,82,0.0103171090667739,0.383,1
D.cl.26,38.7243,78,-0.0106333679215456,0.338,1
D.cl.27,40.2429,64,-0.0147022874013946,0.288,1
D.cl.28,41.7615,72,0.0737377641738742,0.003,0.084
D.cl.29,43.2801,72,0.0446588120491045,0.06,1
D.cl.30,44.7987,138,0.0223240486563673,0.271,1
D.cl.31,46.3173,102,0.0192732788243571,0.277,1
D.cl.32,47.8359,66,0.0379958779109628,0.111,1
D.cl.33,49.3545,44,0.020496561067758,0.273,1
D.cl.34,50.8731,62,-0.00605569878898918,0.429,1
D.cl.35,52.3917,32,-0.00575191486203095,0.381,1
D.cl.36,53.9103,38,0.0175114141579004,0.285,1
D.cl.37,55.4289,18,0.0195236745866326,0.23,1
D.cl.38,56.9475,44,0.0193887288693869,0.273,1
D.cl.39,58.4661,38,0.0340027941914442,0.158,1
D.cl.40,59.9847,24,0.0393840273847819,0.095,1
D.cl.41,61.5033,46,0.0176214584737011,0.377,1
D.cl.42,63.0219,50,0.0229326874894261,0.301,1
D.cl.43,64.5405,12,0.0323748453573973,0.121,1
D.cl.44,66.0591,6,0.00552180094043987,0.43,1
D.cl.45,67.5777,4,-0.013081397330979,0.25,1
D.cl.46,69.0963,6,-0.00788846218904583,0.344,1
D.cl.47,70.6149,6,-0.000169770971090065,0.468,1
D.cl.48,72.1335,6,0.0110349018903239,0.389,1
D.cl.49,73.6521,16,-0.00301198157917796,0.472,1
D.cl.50,75.1707,18,0.00530168676135344,0.476,1
