,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.7593,384,-0.02637990882409,0.236,0.236
D.cl.2,2.2779,304,-0.0144710483759792,0.348,0.696
D.cl.3,3.7965,222,0.00857447661393187,0.384,1
D.cl.4,5.3151,226,-0.0299009063783472,0.121,0.484
D.cl.5,6.8337,208,-0.00762074183958164,0.403,1
D.cl.6,8.3523,202,0.0262991989991187,0.215,1
D.cl.7,9.8709,152,0.00582518969748709,0.416,1
D.cl.8,11.3895,128,0.0101985646344369,0.339,1
D.cl.9,12.9081,160,0.027981824299006,0.14,1
D.cl.10,14.4267,202,-0.00475593969516416,0.454,1
D.cl.11,15.9453,202,-0.0123456607320728,0.314,1
D.cl.12,17.4639,194,-0.00284034547750308,0.43,1
D.cl.13,18.9825,154,0.030230230557768,0.145,1
D.cl.14,20.5011,178,0.0188945623140689,0.28,1
D.cl.15,22.0197,134,0.0169795518935718,0.297,1
D.cl.16,23.5383,120,0.000536693685519222,0.488,1
D.cl.17,25.0569,104,0.0296880602633724,0.138,1
D.cl.18,26.5755,88,0.00640247957921831,0.404,1
D.cl.19,28.0941,118,0.00706370694022792,0.439,1
D.cl.20,29.6127,176,-0.00690985337446832,0.405,1
D.cl.21,31.1313,94,-0.0248307064889859,0.169,1
D.cl.22,32.6499,86,-0.0253470036194181,0.186,1
D.cl.23,34.1685,52,0.0127277707819059,0.291,1
D.cl.24,35.6871,80,0.00299592952092794,0.455,1
D.cl.25,37.2057,82,0.0208911160343007,0.239,1
D.cl.26,38.7243,78,-0.0198304357056365,0.238,1
D.cl.27,40.2429,64,-0.0296861686859543,0.111,1
D.cl.28,41.7615,72,0.0313696604308259,0.123,1
D.cl.29,43.2801,72,0.0278315838386699,0.194,1
D.cl.30,44.7987,138,-0.0169387963862069,0.304,1
D.cl.31,46.3173,102,-0.0219716099732892,0.231,1
D.cl.32,47.8359,66,0.0129239927277312,0.368,1
D.cl.33,49.3545,44,-0.0204253269612382,0.283,1
D.cl.34,50.8731,62,-0.0617906472538582,0.052,1
D.cl.35,52.3917,32,-0.0342600613833481,0.121,1
D.cl.36,53.9103,38,0.000578758817547108,0.488,1
D.cl.37,55.4289,18,0.0157924178599287,0.251,1
D.cl.38,56.9475,44,0.0035820245293253,0.456,1
D.cl.39,58.4661,38,0.0131278249198463,0.378,1
D.cl.40,59.9847,24,0.0389144397137155,0.118,1
D.cl.41,61.5033,46,0.0148734171070907,0.362,1
D.cl.42,63.0219,50,0.00149344585493486,0.515,1
D.cl.43,64.5405,12,0.0183854169929077,0.276,1
D.cl.44,66.0591,6,0.0099262850347033,0.385,1
D.cl.45,67.5777,4,-0.00773629926859253,0.36,1
D.cl.46,69.0963,6,-0.0168963049311161,0.232,1
D.cl.47,70.6149,6,0.00189718481210858,0.469,1
D.cl.48,72.1335,6,0.0114435463800859,0.332,1
D.cl.49,73.6521,16,0.00450805657879923,0.474,1
D.cl.50,75.1707,18,0.00533149998906373,0.501,1
