,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.0176999999999999,276,0.0529050438641458,0.037,0.037
D.cl.2,0.0531,374,0.0487919921868235,0.033,0.066
D.cl.3,0.0885,202,0.0193782835730104,0.23,0.69
D.cl.4,0.1239,314,0.00641647247579722,0.393,1
D.cl.5,0.1593,192,-0.00621077585144481,0.393,1
D.cl.6,0.1947,296,-0.00812654604374621,0.347,1
D.cl.7,0.2301,222,0.0254245827856464,0.138,0.966
D.cl.8,0.2655,280,0.00792098496036949,0.342,1
D.cl.9,0.3009,230,-0.0147599435392588,0.289,1
D.cl.10,0.3363,256,0.0138054761374678,0.234,1
D.cl.11,0.3717,222,-0.00956769491209276,0.29,1
D.cl.12,0.4071,206,0.0120543114650132,0.31,1
D.cl.13,0.4425,198,0.0168076995579292,0.248,1
D.cl.14,0.4779,160,-0.000104795377964692,0.498,1
D.cl.15,0.5133,180,-0.00203479407988482,0.444,1
D.cl.16,0.5487,162,-0.000962406156748392,0.482,1
D.cl.17,0.5841,190,-0.00801223795442367,0.345,1
D.cl.18,0.6195,122,0.00323594153079223,0.46,1
D.cl.19,0.6549,140,-0.00284630230746683,0.422,1
D.cl.20,0.6903,82,-0.0389100339777298,0.011,0.22
D.cl.21,0.7257,90,-0.0516785982432719,0.028,0.588
D.cl.22,0.7611,62,-0.00220398349294744,0.458,1
D.cl.23,0.7965,82,-0.00699022836505008,0.372,1
D.cl.24,0.8319,76,0.00909540074203023,0.385,1
D.cl.25,0.8673,78,-0.002037923066203,0.463,1
D.cl.26,0.9027,78,-0.0402398466347836,0.074,1
D.cl.27,0.9381,40,-0.00333191513396443,0.417,1
D.cl.28,0.9735,52,0.00262212313170876,0.469,1
D.cl.29,1.0089,30,-0.0458562906184496,0.029,0.841
D.cl.30,1.0443,34,0.0310169052181666,0.114,1
D.cl.31,1.0797,26,0.00291758640418381,0.469,1
D.cl.32,1.1151,26,-0.0370911253835243,0.061,1
D.cl.33,1.1505,18,-0.0159344273551612,0.249,1
D.cl.34,1.1859,34,-0.0539613516853062,0.069,1
D.cl.35,1.2213,16,-0.0296244333434725,0.082,1
D.cl.36,1.2567,12,-0.0534812005937293,0.037,1
D.cl.37,1.2921,10,-0.00646952971257816,0.355,1
D.cl.38,1.3275,6,-0.0363462621032047,0.059,1
D.cl.39,1.3629,6,0.0163208535969263,0.267,1
D.cl.40,1.3983,6,-0.0144876547785606,0.219,1
D.cl.41,1.4337,10,-0.0191954858583384,0.203,1
D.cl.42,1.4691,2,-0.000250254001822359,0.466,1
D.cl.43,1.5045,6,-0.061386079499757,0.015,0.645
D.cl.44,1.5399,2,0.00557113073145823,0.383,1
D.cl.45,1.5753,0,NA,NA,NA
D.cl.46,1.6107,0,NA,NA,NA
D.cl.47,1.6461,4,-0.0300524299961244,0.096,NA
D.cl.48,1.6815,0,NA,NA,NA
D.cl.49,1.7169,0,NA,NA,NA
D.cl.50,1.7523,2,-0.0200277012814494,0.133,NA
