,class.index,n.dist,Mantel.cor,Pr(Mantel),Pr(corrected)
D.cl.1,0.0176999999999999,276,0.00326553258586296,0.457,0.457
D.cl.2,0.0531,374,0.0314587273425968,0.122,0.244
D.cl.3,0.0885,202,0.0160247706151743,0.256,0.768
D.cl.4,0.1239,314,-0.00306253970857885,0.413,1
D.cl.5,0.1593,192,0.0407743168445488,0.058,0.29
D.cl.6,0.1947,296,0.00632943645071721,0.393,1
D.cl.7,0.2301,222,0.0322518402707523,0.056,0.392
D.cl.8,0.2655,280,-0.00303445566088716,0.441,1
D.cl.9,0.3009,230,-0.0310350774025723,0.128,1
D.cl.10,0.3363,256,0.0167341364823646,0.183,1
D.cl.11,0.3717,222,-0.0139051966980695,0.218,1
D.cl.12,0.4071,206,0.0270215784381629,0.117,1
D.cl.13,0.4425,198,0.00854055381070628,0.368,1
D.cl.14,0.4779,160,0.0284411261441198,0.073,1
D.cl.15,0.5133,180,0.00530670380984641,0.417,1
D.cl.16,0.5487,162,-0.00355658807180056,0.428,1
D.cl.17,0.5841,190,-0.0454345626883883,0.04,0.68
D.cl.18,0.6195,122,-0.000461627960876936,0.516,1
D.cl.19,0.6549,140,0.0411806007895592,0.021,0.399
D.cl.20,0.6903,82,-0.0128887030464028,0.248,1
D.cl.21,0.7257,90,-0.0226398385361917,0.182,1
D.cl.22,0.7611,62,-0.00171977908535723,0.479,1
D.cl.23,0.7965,82,-0.00666341511236379,0.39,1
D.cl.24,0.8319,76,-0.0214939404979384,0.183,1
D.cl.25,0.8673,78,-0.00265755272016008,0.472,1
D.cl.26,0.9027,78,-0.0387996142453552,0.085,1
D.cl.27,0.9381,40,-0.00784051205902299,0.369,1
D.cl.28,0.9735,52,0.0431668040204907,0.055,1
D.cl.29,1.0089,30,-0.028780467331947,0.106,1
D.cl.30,1.0443,34,0.043293650547572,0.042,1
D.cl.31,1.0797,26,-0.00520844531193469,0.388,1
D.cl.32,1.1151,26,-0.026569357837357,0.12,1
D.cl.33,1.1505,18,-0.0512806539318225,0.023,0.759
D.cl.34,1.1859,34,-0.0797754888779055,0.009,0.306
D.cl.35,1.2213,16,-0.00467700257320816,0.433,1
D.cl.36,1.2567,12,-0.0456095970014716,0.054,1
D.cl.37,1.2921,10,-0.0167573289887731,0.211,1
D.cl.38,1.3275,6,-0.0588167156421178,0.006,0.228
D.cl.39,1.3629,6,0.0164904511381492,0.247,1
D.cl.40,1.3983,6,-0.0405985915470065,0.049,1
D.cl.41,1.4337,10,-0.0163057064414421,0.257,1
D.cl.42,1.4691,2,-0.00617912677445002,0.383,1
D.cl.43,1.5045,6,-0.07151480870672,0.001,0.043
D.cl.44,1.5399,2,0.0281801037670609,0.078,1
D.cl.45,1.5753,0,NA,NA,NA
D.cl.46,1.6107,0,NA,NA,NA
D.cl.47,1.6461,4,-0.0519469406611789,0.022,NA
D.cl.48,1.6815,0,NA,NA,NA
D.cl.49,1.7169,0,NA,NA,NA
D.cl.50,1.7523,2,-0.0392720329126185,0.027,NA
