"","SampleID","order","ids","val"
"1","111D","q0","OC",794
"2","111D","q0","OIM",943
"3","111D","q0","OISM",944
"4","111D","q0","OJIS",974
"5","111D","q0","OISS",98
"6","111D","q0","AC",128
"7","111D","q0","AISM",351
"8","111D","q0","AISC",164
"9","111D","q0","AJIS",353
"10","111D","q0","OCS",611
"11","111D","q0","OIMS",687
"12","111D","q0","OISMS",755
"13","111D","q0","OJISS",769
"14","111D","q0","OISSS",64
"15","111D","q0","ACS",128
"16","111D","q0","AISMS",351
"17","111D","q0","AISCS",164
"18","111D","q0","AJISS",353
"19","112D","q0","OC",734
"20","112D","q0","OIM",966
"21","112D","q0","OISM",1440
"22","112D","q0","OJIS",1506
"23","112D","q0","OISS",147
"24","112D","q0","AC",146
"25","112D","q0","AISM",371
"26","112D","q0","AISC",182
"27","112D","q0","AJIS",374
"28","112D","q0","OCS",560
"29","112D","q0","OIMS",657
"30","112D","q0","OISMS",962
"31","112D","q0","OJISS",988
"32","112D","q0","OISSS",85
"33","112D","q0","ACS",146
"34","112D","q0","AISMS",371
"35","112D","q0","AISCS",182
"36","112D","q0","AJISS",374
"37","113D","q0","OC",1029
"38","113D","q0","OIM",1346
"39","113D","q0","OISM",1025
"40","113D","q0","OJIS",1049
"41","113D","q0","OISS",123
"42","113D","q0","AC",108
"43","113D","q0","AISM",285
"44","113D","q0","AISC",137
"45","113D","q0","AJIS",285
"46","113D","q0","OCS",794
"47","113D","q0","OIMS",850
"48","113D","q0","OISMS",794
"49","113D","q0","OJISS",803
"50","113D","q0","OISSS",92
"51","113D","q0","ACS",108
"52","113D","q0","AISMS",285
"53","113D","q0","AISCS",137
"54","113D","q0","AJISS",285
"55","121D","q0","OC",343
"56","121D","q0","OIM",409
"57","121D","q0","OISM",977
"58","121D","q0","OJIS",1009
"59","121D","q0","OISS",96
"60","121D","q0","AC",93
"61","121D","q0","AISM",312
"62","121D","q0","AISC",115
"63","121D","q0","AJIS",320
"64","121D","q0","OCS",295
"65","121D","q0","OIMS",315
"66","121D","q0","OISMS",772
"67","121D","q0","OJISS",791
"68","121D","q0","OISSS",69
"69","121D","q0","ACS",93
"70","121D","q0","AISMS",312
"71","121D","q0","AISCS",115
"72","121D","q0","AJISS",320
"73","122D","q0","OC",660
"74","122D","q0","OIM",855
"75","122D","q0","OISM",1380
"76","122D","q0","OJIS",1413
"77","122D","q0","OISS",114
"78","122D","q0","AC",163
"79","122D","q0","AISM",453
"80","122D","q0","AISC",212
"81","122D","q0","AJIS",455
"82","122D","q0","OCS",537
"83","122D","q0","OIMS",591
"84","122D","q0","OISMS",1021
"85","122D","q0","OJISS",1029
"86","122D","q0","OISSS",73
"87","122D","q0","ACS",163
"88","122D","q0","AISMS",453
"89","122D","q0","AISCS",212
"90","122D","q0","AJISS",455
"91","123D","q0","OC",653
"92","123D","q0","OIM",759
"93","123D","q0","OISM",1334
"94","123D","q0","OJIS",1378
"95","123D","q0","OISS",134
"96","123D","q0","AC",143
"97","123D","q0","AISM",391
"98","123D","q0","AISC",179
"99","123D","q0","AJIS",397
"100","123D","q0","OCS",512
"101","123D","q0","OIMS",555
"102","123D","q0","OISMS",1043
"103","123D","q0","OJISS",1067
"104","123D","q0","OISSS",89
"105","123D","q0","ACS",143
"106","123D","q0","AISMS",391
"107","123D","q0","AISCS",179
"108","123D","q0","AJISS",397
"109","211D","q0","OC",961
"110","211D","q0","OIM",1184
"111","211D","q0","OISM",433
"112","211D","q0","OJIS",437
"113","211D","q0","OISS",33
"114","211D","q0","AC",44
"115","211D","q0","AISM",169
"116","211D","q0","AISC",66
"117","211D","q0","AJIS",170
"118","211D","q0","OCS",755
"119","211D","q0","OIMS",834
"120","211D","q0","OISMS",361
"121","211D","q0","OJISS",367
"122","211D","q0","OISSS",26
"123","211D","q0","ACS",44
"124","211D","q0","AISMS",169
"125","211D","q0","AISCS",66
"126","211D","q0","AJISS",170
"127","212D","q0","OC",745
"128","212D","q0","OIM",868
"129","212D","q0","OISM",633
"130","212D","q0","OJIS",648
"131","212D","q0","OISS",42
"132","212D","q0","AC",51
"133","212D","q0","AISM",219
"134","212D","q0","AISC",75
"135","212D","q0","AJIS",222
"136","212D","q0","OCS",585
"137","212D","q0","OIMS",606
"138","212D","q0","OISMS",508
"139","212D","q0","OJISS",515
"140","212D","q0","OISSS",28
"141","212D","q0","ACS",51
"142","212D","q0","AISMS",219
"143","212D","q0","AISCS",75
"144","212D","q0","AJISS",222
"145","213D","q0","OC",955
"146","213D","q0","OIM",1095
"147","213D","q0","OISM",869
"148","213D","q0","OJIS",884
"149","213D","q0","OISS",58
"150","213D","q0","AC",94
"151","213D","q0","AISM",293
"152","213D","q0","AISC",136
"153","213D","q0","AJIS",295
"154","213D","q0","OCS",710
"155","213D","q0","OIMS",774
"156","213D","q0","OISMS",675
"157","213D","q0","OJISS",680
"158","213D","q0","OISSS",50
"159","213D","q0","ACS",94
"160","213D","q0","AISMS",293
"161","213D","q0","AISCS",136
"162","213D","q0","AJISS",295
"163","221D","q0","OC",877
"164","221D","q0","OIM",1036
"165","221D","q0","OISM",1996
"166","221D","q0","OJIS",2058
"167","221D","q0","OISS",203
"168","221D","q0","AC",144
"169","221D","q0","AISM",473
"170","221D","q0","AISC",213
"171","221D","q0","AJIS",476
"172","221D","q0","OCS",672
"173","221D","q0","OIMS",687
"174","221D","q0","OISMS",1383
"175","221D","q0","OJISS",1399
"176","221D","q0","OISSS",137
"177","221D","q0","ACS",144
"178","221D","q0","AISMS",473
"179","221D","q0","AISCS",213
"180","221D","q0","AJISS",476
"181","222D","q0","OC",1296
"182","222D","q0","OIM",1679
"183","222D","q0","OISM",797
"184","222D","q0","OJIS",821
"185","222D","q0","OISS",53
"186","222D","q0","AC",85
"187","222D","q0","AISM",265
"188","222D","q0","AISC",123
"189","222D","q0","AJIS",267
"190","222D","q0","OCS",986
"191","222D","q0","OIMS",1098
"192","222D","q0","OISMS",643
"193","222D","q0","OJISS",652
"194","222D","q0","OISSS",41
"195","222D","q0","ACS",85
"196","222D","q0","AISMS",265
"197","222D","q0","AISCS",123
"198","222D","q0","AJISS",267
"199","223D","q0","OC",589
