#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
8ce2a02290bebc50382497fe12efb18b;size=7211;	0	2375	0	0	486	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	459	0	7	0	0	9	0	0	0	0	119	0	0	0	1577	0	73	158	31	0	94	0	784	18	0	81	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	848	8
238be8146a3a8e2349bd5fc347fd2691;size=4091;	0	0	0	19	0	426	0	0	0	0	190	2711	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	332	81	0	0	0	0	0	0	2	0	16	0	72	7
11404db52d18c2a2bc594d006ecd44e6;size=3976;	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	133	0	107	0	53	0	164	0	99	40	16	47	0	374	96	140	38	250	48	45	109	400	17	257	635	669	33	0	0	0	0	76	83	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
faf7da7b34f1ac097de10e8a3f0a16c2;size=3537;	0	1658	0	0	1580	0	0	0	0	0	4	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0
2ec416712336f79c06050210367857c6;size=3531;	0	0	0	0	0	0	0	0	30	3468	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
c1037dac31cab2d04382edd61028ec6a;size=3327;	0	0	0	0	0	0	0	0	0	6	0	3	0	3242	0	0	0	0	0	15	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c41b999a4591768475684b8845586f65;size=3103;	0	1240	0	0	752	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	14	0	44	0	15	1	32	0	899	0	13	0	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
ccc3718b949f3674a4d6dbbe9d193ee0;size=2732;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	25	2126	0	328	0	0	0	0	0	44	0	0
5f25f9c9b3e4e461f41e3e77f41eae9b;size=2631;	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	136	0	0	0	0	0	0	9	13	0	0	0	0	204	40	0	48	0	40	8	1818	0	48	0	95	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1241a550451e32b47a14d438a18a4e2;size=2604;	0	55	31	14	114	94	73	116	211	371	55	57	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	20	0	0	0	0	0	11	76	0	3	0	0	0	0	0	88	0	0	32	59	31	67	152	36	0	53	6	10	0	9	19	120	0	24	267	0	38	17	73	7	106	9	0	6	63
