#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
dcd06cec02573d1c16acca6ed8a5a4a9;size=8311;	0	0	0	0	0	0	0	0	0	8146	0	0	0	0	0	0	0	8	0	38	0	30	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
a6a72ae334f42e07c4c7599f10da3d29;size=7799;	0	2376	0	0	484	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	460	0	7	0	0	9	0	0	0	0	119	0	0	0	2141	0	73	159	29	0	95	0	785	18	0	81	40	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	848	8
71673c6b63e679d3b71d41b852b49554;size=5006;	0	2	0	174	1	0	123	0	96	1801	0	1166	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	179	28	2	0	0	0	2	5	0	1	0	266	139	112	13	15	355	163	137	18	52	6	96
094955a7a420a916674edb66b143a2bf;size=4751;	0	0	0	0	0	0	53	0	0	4643	0	11	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
91d1fd2502a009156df021734416d34b;size=4207;	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	3	0	0	0	135	0	117	0	57	0	164	0	98	41	16	47	0	377	98	140	51	250	49	51	110	553	17	258	637	673	34	0	11	0	0	76	83	14	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
b0b70f2e67f9b3879eef19d7ef9f5cf8;size=3986;	0	0	0	19	0	372	0	0	0	3	191	2720	0	6	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	332	81	0	0	0	0	0	0	2	0	16	0	48	7
274cda9897b5754ea51e0353498bb6fb;size=3551;	0	1669	1	0	1582	0	0	0	0	0	4	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
e4ea3585de291b59c7903b9cf389deac;size=3322;	0	0	0	0	0	0	0	0	0	6	0	3	0	3237	0	0	0	0	0	15	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4f84f8ca6d51c03a9d60d199345aefb;size=2932;	0	0	0	0	0	0	0	0	0	2908	0	1	0	0	0	0	0	0	0	9	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8c58ecc9726e21fea6a8850d2db9511d;size=2931;	0	1146	0	0	710	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0	14	0	0	0	18	1	33	0	901	0	14	0	12	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
3d00c119da5251936014d38d275c118e;size=2769;	0	0	0	0	0	0	0	0	0	0	0	0	279	56	0	27	109	0	46	0	0	62	0	0	0	395	12	0	105	0	0	0	0	0	416	0	461	0	102	0	99	7	87	0	339	0	0	32	0	0	115	0	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f589563ae48844d001029aa1843c88c;size=2747;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	25	2133	0	332	3	0	0	0	0	44	0	0
311ac9a9cb847ed3ae7f8cf2de006901;size=2653;	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	137	0	0	0	0	0	3	9	13	0	0	4	7	204	40	0	49	0	40	8	1822	1	49	0	94	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf20cde5eb9899bbb29217b126f4fe9b;size=2557;	0	57	31	14	95	95	74	92	211	496	55	57	0	0	0	0	0	1	0	0	0	5	0	0	0	8	0	20	0	0	0	0	0	11	88	0	3	0	0	0	0	3	88	0	2	32	59	0	63	107	36	0	52	6	10	0	9	27	96	0	11	230	0	28	17	73	7	106	9	0	9	64
cc596abb5f1eb867f42672edb14d2661;size=2247;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	28	0	0	3	0	101	19	78	0	130	0	0	225	0	0	0	83	42	440	6	2	115	0	0	6	30	45	0	0	0	0	106	199	0	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906befc03fcec1dff8081299ee95a365;size=2193;	4	0	238	0	0	0	78	5	1	0	33	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	15	0	3	0	0	0	0	2	0	0	476	0	45	158	0	443	17	76	76	39	32
c4442194f6a25a547678858e2b32d1f4;size=2180;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	12	0	28	11	22	1065	799	0	0	0	0	0	8	0	0	82	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b46001bb89a0a35ce5f895cd2eeeae6c;size=2175;	0	0	0	0	0	0	0	0	0	0	0	2152	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
580a56f5bb6839ce9a3a9174a3d9416b;size=2136;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	1427	0	400	37	0	0	3	0	232	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f344d47d4130eb08eb76025aca85299c;size=2072;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	190	0	312	0	0	0	0	0	0	0	45	0	14	0	15	0	599	864	8	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6e03a0ae2fdf6196198c0f6d783ce3a;size=2006;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
713938020211715e8b49e4cdb6e14f8d;size=1997;	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	16	6	0	0	0	21	36	0	0	0	3	19	206	0	3	0	0	18	0	265	0	538	0	143	0	12	23	66	0	23	0	46	276	0	0	79	0	8	0	139	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5a754b6ce71d3c0c59588b96b4caebaf;size=1950;	10	8	0	11	36	5	0	7	3	21	1	19	5	75	0	0	6	16	0	25	66	0	10	41	43	89	0	72	82	29	15	0	11	3	360	14	163	11	42	44	24	162	34	10	50	134	13	0	39	35	11	6	4	0	0	3	16	0	0	0	0	0	0	0	0	20	2	40	0	4	0	0
24a7c0353c806d9391c2bd3b799bb96b;size=1901;	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	339	0	159	0	0	0	0	0	0	969	3	135	5	110	0	17	0	12	0	10	0	11	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e28db5629c4a038270b77c03b668b16d;size=1896;	0	0	0	0	0	0	0	0	0	0	0	1886	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7401241811b32d1fe6ac82f98dde435;size=1858;	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	5	0	0	0	115	12	0	0	0	118	266	48	0	0	15	0	10	0	66	0	882	0	13	0	8	0	16	117	33	17	95	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d97016f7b30675eac2ed1f0f15d0f81;size=1853;	33	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	561	0	0	0	21	0	0	0	0	0	0	30	0	0	21	0	6	0	8	0	22	169	0	0	266	287	0	2	0	33	16	0	20	10	0	0	0	44	0	29	0	0	0	0	0	0	0	0	0	0	0	0
8e8abb6ee0fefe8329fb5cf48f294146;size=1786;	0	0	0	0	0	0	0	0	0	1	0	0	0	25	0	139	0	0	0	0	678	0	0	0	0	0	0	0	24	239	0	0	0	0	8	0	5	0	159	0	0	0	0	0	5	181	3	317	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53896980d8e096e2de9336ccd8bb44a6;size=1786;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1727	0	0	0	0	0	10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee8cb35955187cc20ab091c5b437047e;size=1741;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1549	0	162	0	0	0	4	0	25	0	0
2d1113631c6c8c949925b7e338fad3d5;size=1666;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1655	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
438b9ada1074aa3bac6f3b3b7428a95f;size=1663;	18	15	28	35	0	22	0	6	7	65	0	40	2	153	0	0	7	7	9	0	0	13	0	10	47	0	0	7	50	5	0	0	0	0	39	11	53	49	0	15	46	21	9	14	34	13	0	23	52	42	10	34	19	15	0	0	23	73	17	9	12	74	55	0	38	113	7	85	19	37	16	40
1a29ad778851ac37381391d37d0a0164;size=1642;	228	0	196	352	19	0	3	77	9	59	57	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0
58e2fb02a8c2bcf13b33f16828476eec;size=1612;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209	0	0	17	0	0	0	0	3	0	2	0	0	0	0	0	0	0	8	162	0	0
fa112a1d038d0e2b6679784f17547d38;size=1548;	0	0	0	0	0	0	11	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	12	0	595	0	561	0	0	0	2
ab7a6c99d30aadc26af5e7b0f6c76a58;size=1525;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	433	0	0	14	0	0	80	1	850	0	14	0	16	0	10	0	21	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6836e57dc0a2aae9ea2cb5d4ea58fa32;size=1494;	0	9	3	7	13	15	0	0	8	18	0	27	19	57	0	72	27	211	46	72	24	25	0	285	0	15	1	48	9	4	0	0	0	0	48	7	6	8	13	39	54	121	4	3	55	9	0	17	5	13	5	0	54	0	0	0	0	3	4	0	0	0	0	0	0	2	1	6	1	0	0	1
c719636975f152cd5c9d0141cd598156;size=1489;	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65d61b5bbf2b50d0a55ece5244ab2694;size=1472;	0	87	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	8	33	0	128	0	0	34	6	86	0	0	0	79	11	0	123	0	50	0	0	507	0	28	0	0	21	0	0	66	22	0	57	67	0	0	0	0	0	0	0	0	0	0	0	0	3	0
f6c230999371b1050f2b1d4641340ce1;size=1469;	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	92	1	24	0	0	0	0	20	0	0	0	32	17	175	55	0	289	0	9	24	17	0	5	43	5	0	89	0	146	10	0	0	0	120	129	31	7	0	0	0	0	0	0	0	0	0	0	0
383ba1362d97a6bb24df96df4333908b;size=1448;	0	0	0	0	28	0	0	0	0	2	0	0	0	1049	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	8	0	2	0	3	0	197	0	0	0	0	0	0	0	0	0	0	26	0	45	0	0	0	0	0	0	0	0	0	0	0	0
5873560a299c7ea778e0e3068a112312;size=1440;	0	544	0	0	170	0	5	0	0	64	0	0	0	26	0	56	0	0	0	7	0	2	0	0	0	2	0	0	0	21	0	0	29	0	17	0	92	23	0	0	44	0	0	6	3	0	0	0	0	0	0	0	97	0	7	0	14	8	7	26	2	1	0	0	0	0	0	153	0	0	14	0
47e5eaefb25a26ee7fe708e4c2743975;size=1415;	0	26	4	0	34	0	1	9	0	26	33	2	25	83	0	22	14	61	2	26	18	12	0	57	3	50	0	13	0	23	0	0	0	4	116	12	84	27	52	69	27	198	10	13	131	74	20	8	0	1	1	0	10	0	0	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efc12f640931bce3bda2e889b7b4a86e;size=1403;	0	1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
ff93c96c6791923eb80d0b4689155702;size=1392;	0	0	0	0	35	0	5	0	97	438	0	0	0	53	3	24	0	0	0	0	44	0	0	0	0	21	0	97	0	10	0	0	20	6	0	0	40	22	11	0	27	0	0	10	6	0	9	22	0	108	0	0	19	0	0	0	75	15	0	0	0	0	0	0	0	17	0	158	0	0	0	0
be11766d5d1949cd0f70646301caf25b;size=1372;	0	0	0	0	0	3	0	143	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	246	20	1	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	127	6	496	0	0
d1c3bbe0f186ebc6074b247f59aac172;size=1317;	0	68	0	97	0	0	0	34	0	0	217	382	0	0	0	0	0	9	0	0	0	0	0	31	0	0	0	0	7	0	0	0	0	0	275	0	0	0	0	14	0	0	7	0	0	29	0	0	37	0	0	0	0	0	0	5	0	0	0	7	0	24	0	0	0	0	9	0	33	32	0	0
883ed0c99ef69fc5c66dd6ac655812b2;size=1315;	0	446	0	0	157	1	0	0	0	0	0	0	2	0	0	2	0	41	0	76	0	0	0	0	1	6	0	0	0	0	0	0	3	0	0	0	0	0	6	52	0	0	0	0	0	20	0	33	24	0	0	0	0	0	0	0	14	84	0	58	0	0	0	0	0	0	59	179	0	23	28	0
59f5c4895a975fcf8f752041237c858c;size=1312;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1206	0	28	0	14	0	16	0	18	0	19	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
559db1aee33f3551d4c521db5fd14cb9;size=1292;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	39	0	633	0	0	0	0	22	0	73	0	80	0	0	0	0	10	62	0	97	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bdc1bddd67f43f32beb59deb086fd488;size=1278;	0	0	0	0	0	0	0	0	0	4	0	0	0	1117	0	0	0	0	0	13	0	41	0	0	0	0	3	0	17	0	0	0	48	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6553ed7f9468bcdd4e6eb6212bfe12ca;size=1263;	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	338	0	0	565	0	0	0	0	0	0	0	0	0	0	10	0	316	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
624ba210dfbeada28a9b75060ab553a8;size=1251;	0	0	207	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	232	0	0	18	0	13	0	0	0	4	0	0	0	147	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	62	0	236
31f519cc79c1821ff2bd5f0ce44db1a6;size=1248;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	17	0	22	0	23	0	572	1	0	0	9	0	3	0	0	0	0	0	0	592	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bcc056c8e6bf69ff9469c5e348e69a53;size=1244;	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	9	230	0	3	0	14	0	0	0	0	99	0	0	0	0	24	3	0	0	12	0	0	1	0	38	421	0	0	30	1	0	0	0	0	0	0	0	2	0	0	19	244	20	0	0	0	0	0	0	0	0	38	21	0	0	0
ee6059c290296b5a8b3594aefea83320;size=1221;	0	67	0	80	358	7	0	0	0	54	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	156	0	64	0	7	0	34	0	0	0	0	0	0	21	0	0	0	0	0	84	122	0	0	7	47	0	0	19	0	39	0	0	1	0	0	0	0	0	0	1	4	0	0	21
