#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
c6bb648c8d19e189d51d7b40d01e3127;size=17112;	0	0	0	0	0	0	73	0	144	16600	0	13	0	10	0	8	0	6	0	75	0	39	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0
0c6edebbf5829ffcf1021119a41beddd;size=10013;	0	0	0	246	1	0	174	0	140	2558	0	4460	0	6	0	13	0	5	0	10	0	6	0	8	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	58	320	36	4	0	0	8	2	8	5	1	0	344	136	169	23	22	530	240	210	30	72	10	142
35e8ce12bf76a0b42b63677bb140f8fd;size=9704;	0	2926	0	0	567	0	0	2	0	0	3	0	14	0	1	0	0	0	0	0	516	0	9	0	0	10	0	0	10	0	136	0	143	0	2597	0	92	184	38	0	110	0	996	20	38	93	46	0	0	0	0	0	73	0	5	1	0	0	0	0	0	0	0	0	2	0	2	0	8	0	1054	8
4531a60db2225bd4352d45230ab25d78;size=8115;	10	2	40	40	0	715	0	1	0	7	372	5545	0	7	2	26	0	6	0	0	0	1	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	6	0	344	0	0	0	2	0	2	0	653	117	0	0	0	0	0	0	2	3	43	0	127	13
91d1fd2502a009156df021734416d34b;size=5747;	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	4	0	0	0	203	12	162	0	80	0	211	8	123	61	20	63	0	531	112	180	47	365	72	61	149	765	28	335	885	895	51	0	23	2	0	102	103	15	10	0	12	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
f6018fa5cbda518defd063f60aedd0ee;size=4869;	187	84	48	21	109	158	118	166	385	969	107	115	0	0	0	0	0	1	0	4	0	5	0	2	0	14	0	29	0	2	0	0	18	22	155	0	5	0	5	0	1	0	146	0	3	45	115	45	106	184	68	38	170	13	16	0	12	44	176	0	27	423	3	44	27	106	13	190	14	13	9	89
1f589563ae48844d001029aa1843c88c;size=4714;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	9	0	0	41	3613	1	607	4	0	0	2	0	77	0	0
e4ea3585de291b59c7903b9cf389deac;size=4652;	0	0	0	0	0	0	0	0	0	11	0	3	0	4534	0	0	0	0	0	18	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65d61b5bbf2b50d0a55ece5244ab2694;size=4543;	0	255	0	0	97	0	0	0	0	0	0	0	3	0	0	0	0	29	22	0	0	2	2	36	0	13	85	0	361	0	55	75	9	277	94	0	30	245	17	0	352	3	161	0	20	1547	25	61	0	0	57	0	0	183	49	2	185	184	0	0	2	0	0	0	0	0	0	0	0	0	5	0
b09ed0bfe26ef414f1b3ff7918489e6b;size=4542;	7	99	0	153	0	1	0	60	0	2264	358	648	0	0	0	0	0	9	0	13	0	10	0	49	0	0	0	0	12	0	0	0	0	0	502	0	0	0	0	21	0	11	0	0	0	50	0	0	71	0	0	0	0	6	0	9	0	0	0	2	0	43	0	14	0	0	19	0	50	50	11	0
