"","SampleID","Poligono","Sitio","Transecto","Season","LIB","Method","beta"
"1","111D","P1","S1","T1","Dry",1,"OC",0.851027397260274
"2","111D","P1","S1","T1","Dry",1,"OIM",0.878267363704257
"3","111D","P1","S1","T1","Dry",1,"OISM",0.877777777777778
"4","111D","P1","S1","T1","Dry",1,"OJIS",0.87395498392283
"5","111D","P1","S1","T1","Dry",1,"OISS",0.888059701492537
"6","111D","P1","S1","T1","Dry",1,"AC",0.9296875
"7","111D","P1","S1","T1","Dry",1,"AISM",0.8448
"8","111D","P1","S1","T1","Dry",1,"AISC",0.928792569659443
"9","111D","P1","S1","T1","Dry",1,"AJIS",0.851500789889415
"10","112D","P1","S1","T2","Dry",1,"OC",0.804609218436874
"11","112D","P1","S1","T2","Dry",1,"OIM",0.831918505942275
"12","112D","P1","S1","T2","Dry",1,"OISM",0.817220543806647
"13","112D","P1","S1","T2","Dry",1,"OJIS",0.818991097922849
"14","112D","P1","S1","T2","Dry",1,"OISS",0.824817518248175
"15","112D","P1","S1","T2","Dry",1,"AC",0.864406779661017
"16","112D","P1","S1","T2","Dry",1,"AISM",0.806
"17","112D","P1","S1","T2","Dry",1,"AISC",0.864864864864865
"18","112D","P1","S1","T2","Dry",1,"AJIS",0.804347826086957
"19","113D","P1","S1","T3","Dry",1,"OC",0.847619047619048
"20","113D","P1","S1","T3","Dry",1,"OIM",0.85928338762215
"21","113D","P1","S1","T3","Dry",1,"OISM",0.858407079646018
"22","113D","P1","S1","T3","Dry",1,"OJIS",0.861111111111111
"23","113D","P1","S1","T3","Dry",1,"OISS",0.905405405405405
"24","113D","P1","S1","T3","Dry",1,"AC",0.875
"25","113D","P1","S1","T3","Dry",1,"AISM",0.845417236662107
"26","113D","P1","S1","T3","Dry",1,"AISC",0.882857142857143
"27","113D","P1","S1","T3","Dry",1,"AJIS",0.845318860244233
"28","121D","P1","S2","T1","Dry",1,"OC",0.825938566552901
"29","121D","P1","S2","T1","Dry",1,"OIM",0.856515373352855
"30","121D","P1","S2","T1","Dry",1,"OISM",0.847480106100796
"31","121D","P1","S2","T1","Dry",1,"OJIS",0.844736842105263
"32","121D","P1","S2","T1","Dry",1,"OISS",0.8
"33","121D","P1","S2","T1","Dry",1,"AC",0.827160493827161
"34","121D","P1","S2","T1","Dry",1,"AISM",0.824242424242424
"35","121D","P1","S2","T1","Dry",1,"AISC",0.880952380952381
"36","121D","P1","S2","T1","Dry",1,"AJIS",0.827380952380952
"37","122D","P1","S2","T2","Dry",1,"OC",0.825371965544244
"38","122D","P1","S2","T2","Dry",1,"OIM",0.839506172839506
"39","122D","P1","S2","T2","Dry",1,"OISM",0.820630372492837
"40","122D","P1","S2","T2","Dry",1,"OJIS",0.820717131474104
"41","122D","P1","S2","T2","Dry",1,"OISS",0.845679012345679
"42","122D","P1","S2","T2","Dry",1,"AC",0.827586206896552
"43","122D","P1","S2","T2","Dry",1,"AISM",0.782193958664547
"44","122D","P1","S2","T2","Dry",1,"AISC",0.816949152542373
"45","122D","P1","S2","T2","Dry",1,"AJIS",0.782884310618067
"46","123D","P1","S2","T3","Dry",1,"OC",0.80343716433942
"47","123D","P1","S2","T3","Dry",1,"OIM",0.836717428087986
"48","123D","P1","S2","T3","Dry",1,"OISM",0.789392774788624
"49","123D","P1","S2","T3","Dry",1,"OJIS",0.786910197869102
"50","123D","P1","S2","T3","Dry",1,"OISS",0.763440860215054
"51","123D","P1","S2","T3","Dry",1,"AC",0.853658536585366
"52","123D","P1","S2","T3","Dry",1,"AISM",0.803757828810021
"53","123D","P1","S2","T3","Dry",1,"AISC",0.819444444444444
"54","123D","P1","S2","T3","Dry",1,"AJIS",0.802904564315353
"55","211D","P2","S1","T1","Dry",1,"OC",0.833460076045627
"56","211D","P2","S1","T1","Dry",1,"OIM",0.850032743942371
"57","211D","P2","S1","T1","Dry",1,"OISM",0.840046029919448
"58","211D","P2","S1","T1","Dry",1,"OJIS",0.838193253287593
"59","211D","P2","S1","T1","Dry",1,"OISS",0.86231884057971
"60","211D","P2","S1","T1","Dry",1,"AC",0.905737704918033
"61","211D","P2","S1","T1","Dry",1,"AISM",0.833333333333333
"62","211D","P2","S1","T1","Dry",1,"AISC",0.91566265060241
"63","211D","P2","S1","T1","Dry",1,"AJIS",0.829846582984658
"64","212D","P2","S1","T2","Dry",1,"OC",0.855302279484638
"65","212D","P2","S1","T2","Dry",1,"OIM",0.848456501403181
"66","212D","P2","S1","T2","Dry",1,"OISM",0.841025641025641
"67","212D","P2","S1","T2","Dry",1,"OJIS",0.84325230511316
"68","212D","P2","S1","T2","Dry",1,"OISS",0.892561983471074
"69","212D","P2","S1","T2","Dry",1,"AC",0.926380368098159
"70","212D","P2","S1","T2","Dry",1,"AISM",0.854748603351955
"71","212D","P2","S1","T2","Dry",1,"AISC",0.929245283018868
"72","212D","P2","S1","T2","Dry",1,"AJIS",0.861566484517304
"73","213D","P2","S1","T3","Dry",2,"OC",0.811732605729877
"74","213D","P2","S1","T3","Dry",2,"OIM",0.828318584070797
"75","213D","P2","S1","T3","Dry",2,"OISM",0.799673380511704
"76","213D","P2","S1","T3","Dry",2,"OJIS",0.802455953016551
"77","213D","P2","S1","T3","Dry",2,"OISS",0.78974358974359
"78","213D","P2","S1","T3","Dry",2,"AC",0.8875
"79","213D","P2","S1","T3","Dry",2,"AISM",0.782668500687758
"80","213D","P2","S1","T3","Dry",2,"AISC",0.843137254901961
"81","213D","P2","S1","T3","Dry",2,"AJIS",0.77792732166891
"82","221D","P2","S2","T1","Dry",2,"OC",0.836510263929619
"83","221D","P2","S2","T1","Dry",2,"OIM",0.837387074357193
"84","221D","P2","S2","T1","Dry",2,"OISM",0.821794871794872
"85","221D","P2","S2","T1","Dry",2,"OJIS",0.821292775665399
"86","221D","P2","S2","T1","Dry",2,"OISS",0.804878048780488
"87","221D","P2","S2","T1","Dry",2,"AC",0.931451612903226
"88","221D","P2","S2","T1","Dry",2,"AISM",0.838235294117647
"89","221D","P2","S2","T1","Dry",2,"AISC",0.918831168831169
"90","221D","P2","S2","T1","Dry",2,"AJIS",0.839311334289814
"91","222D","P2","S2","T2","Dry",2,"OC",0.843465045592705
"92","222D","P2","S2","T2","Dry",2,"OIM",0.849730458221024
"93","222D","P2","S2","T2","Dry",2,"OISM",0.829268292682927
"94","222D","P2","S2","T2","Dry",2,"OJIS",0.830456226880395
"95","222D","P2","S2","T2","Dry",2,"OISS",0.904494382022472
"96","222D","P2","S2","T2","Dry",2,"AC",0.908695652173913
"97","222D","P2","S2","T2","Dry",2,"AISM",0.826086956521739
"98","222D","P2","S2","T2","Dry",2,"AISC",0.901360544217687
"99","222D","P2","S2","T2","Dry",2,"AJIS",0.8205499276411
"100","223D","P2","S2","T3","Dry",2,"OC",0.836693548387097
"101","223D","P2","S2","T3","Dry",2,"OIM",0.864555848724714
"102","223D","P2","S2","T3","Dry",2,"OISM",0.85176282051282
"103","223D","P2","S2","T3","Dry",2,"OJIS",0.851030110935024
"104","223D","P2","S2","T3","Dry",2,"OISS",0.866242038216561
"105","223D","P2","S2","T3","Dry",2,"AC",0.917647058823529
"106","223D","P2","S2","T3","Dry",2,"AISM",0.837837837837838
"107","223D","P2","S2","T3","Dry",2,"AISC",0.909090909090909
"108","223D","P2","S2","T3","Dry",2,"AJIS",0.835589941972921
"109","311D","P3","S1","T1","Dry",2,"OC",0.845967741935484
"110","311D","P3","S1","T1","Dry",2,"OIM",0.876086956521739
"111","311D","P3","S1","T1","Dry",2,"OISM",0.865946632782719
"112","311D","P3","S1","T1","Dry",2,"OJIS",0.867462311557789
"113","311D","P3","S1","T1","Dry",2,"OISS",0.897777777777778
"114","311D","P3","S1","T1","Dry",2,"AC",0.897959183673469
"115","311D","P3","S1","T1","Dry",2,"AISM",0.868715083798883
"116","311D","P3","S1","T1","Dry",2,"AISC",0.89375
"117","311D","P3","S1","T1","Dry",2,"AJIS",0.871148459383754
"118","312D","P3","S1","T2","Dry",2,"OC",0.91871921182266
"119","312D","P3","S1","T2","Dry",2,"OIM",0.921091445427729
"120","312D","P3","S1","T2","Dry",2,"OISM",0.92442996742671
"121","312D","P3","S1","T2","Dry",2,"OJIS",0.922330097087379
"122","312D","P3","S1","T2","Dry",2,"OISS",0.931937172774869
"123","312D","P3","S1","T2","Dry",2,"AC",0.958762886597938
"124","312D","P3","S1","T2","Dry",2,"AISM",0.92755905511811
"125","312D","P3","S1","T2","Dry",2,"AISC",0.94672131147541
"126","312D","P3","S1","T2","Dry",2,"AJIS",0.923556942277691
"127","313D","P3","S1","T3","Dry",2,"OC",0.868065967016492
"128","313D","P3","S1","T3","Dry",2,"OIM",0.876010781671159
"129","313D","P3","S1","T3","Dry",2,"OISM",0.874336283185841
"130","313D","P3","S1","T3","Dry",2,"OJIS",0.875438596491228
"131","313D","P3","S1","T3","Dry",2,"OISS",0.917948717948718
"132","313D","P3","S1","T3","Dry",2,"AC",0.92910447761194
"133","313D","P3","S1","T3","Dry",2,"AISM",0.880851063829787
"134","313D","P3","S1","T3","Dry",2,"AISC",0.921875
"135","313D","P3","S1","T3","Dry",2,"AJIS",0.873579545454545
"136","321D","P3","S2","T1","Dry",2,"OC",0.848871442590775
"137","321D","P3","S2","T1","Dry",2,"OIM",0.859022556390977
"138","321D","P3","S2","T1","Dry",2,"OISM",0.852693602693603
"139","321D","P3","S2","T1","Dry",2,"OJIS",0.852649006622517
"140","321D","P3","S2","T1","Dry",2,"OISS",0.813953488372093
"141","321D","P3","S2","T1","Dry",2,"AC",0.957575757575758
"142","321D","P3","S2","T1","Dry",2,"AISM",0.870229007633588
"143","321D","P3","S2","T1","Dry",2,"AISC",0.938967136150235
"144","321D","P3","S2","T1","Dry",2,"AJIS",0.872420262664165
"145","322D","P3","S2","T2","Dry",3,"OC",0.848196051735875
"146","322D","P3","S2","T2","Dry",3,"OIM",0.866543665436654
"147","322D","P3","S2","T2","Dry",3,"OISM",0.863117870722434
"148","322D","P3","S2","T2","Dry",3,"OJIS",0.863320875600641
"149","322D","P3","S2","T2","Dry",3,"OISS",0.825581395348837
"150","322D","P3","S2","T2","Dry",3,"AC",0.92
"151","322D","P3","S2","T2","Dry",3,"AISM",0.887359198998748
"152","322D","P3","S2","T2","Dry",3,"AISC",0.911184210526316
"153","322D","P3","S2","T2","Dry",3,"AJIS",0.88667496886675
"154","323D","P3","S2","T3","Dry",3,"OC",0.854395604395604
"155","323D","P3","S2","T3","Dry",3,"OIM",0.867441860465116
"156","323D","P3","S2","T3","Dry",3,"OISM",0.856244761106454
"157","323D","P3","S2","T3","Dry",3,"OJIS",0.855301455301455
"158","323D","P3","S2","T3","Dry",3,"OISS",0.85427135678392
"159","323D","P3","S2","T3","Dry",3,"AC",0.932773109243697
"160","323D","P3","S2","T3","Dry",3,"AISM",0.846438482886216
"161","323D","P3","S2","T3","Dry",3,"AISC",0.913319238900634
"162","323D","P3","S2","T3","Dry",3,"AJIS",0.842105263157895
"163","411D","P4","S1","T1","Dry",3,"OC",0.842963653308481
"164","411D","P4","S1","T1","Dry",3,"OIM",0.861562258313998
"165","411D","P4","S1","T1","Dry",3,"OISM",0.841974431818182
"166","411D","P4","S1","T1","Dry",3,"OJIS",0.839802399435427
"167","411D","P4","S1","T1","Dry",3,"OISS",0.852459016393443
"168","411D","P4","S1","T1","Dry",3,"AC",0.915294117647059
"169","411D","P4","S1","T1","Dry",3,"AISM",0.837860082304527
"170","411D","P4","S1","T1","Dry",3,"AISC",0.898100172711572
"171","411D","P4","S1","T1","Dry",3,"AJIS",0.834975369458128
"172","412D","P4","S1","T2","Dry",3,"OC",0.802160702228224
"173","412D","P4","S1","T2","Dry",3,"OIM",0.818505338078292
"174","412D","P4","S1","T2","Dry",3,"OISM",0.779966235227912
"175","412D","P4","S1","T2","Dry",3,"OJIS",0.777034559643255
"176","412D","P4","S1","T2","Dry",3,"OISS",0.861538461538462
"177","412D","P4","S1","T2","Dry",3,"AC",0.848
"178","412D","P4","S1","T2","Dry",3,"AISM",0.804449648711944
"179","412D","P4","S1","T2","Dry",3,"AISC",0.857142857142857
"180","412D","P4","S1","T2","Dry",3,"AJIS",0.801864801864802
"181","413D","P4","S1","T3","Dry",3,"OC",0.841530054644809
"182","413D","P4","S1","T3","Dry",3,"OIM",0.854845719252499
"183","413D","P4","S1","T3","Dry",3,"OISM",0.836591086786552
"184","413D","P4","S1","T3","Dry",3,"OJIS",0.836236933797909
"185","413D","P4","S1","T3","Dry",3,"OISS",0.818965517241379
"186","413D","P4","S1","T3","Dry",3,"AC",0.875
"187","413D","P4","S1","T3","Dry",3,"AISM",0.817843866171004
"188","413D","P4","S1","T3","Dry",3,"AISC",0.858333333333333
"189","413D","P4","S1","T3","Dry",3,"AJIS",0.816666666666667
"190","421D","P4","S2","T1","Dry",3,"OC",0.843046357615894
"191","421D","P4","S2","T1","Dry",3,"OIM",0.848795180722892
"192","421D","P4","S2","T1","Dry",3,"OISM",0.835570469798658
"193","421D","P4","S2","T1","Dry",3,"OJIS",0.834437086092715
"194","421D","P4","S2","T1","Dry",3,"OISS",0.886486486486487
"195","421D","P4","S2","T1","Dry",3,"AC",0.8715953307393
"196","421D","P4","S2","T1","Dry",3,"AISM",0.857642940490082
"197","421D","P4","S2","T1","Dry",3,"AISC",0.864553314121037
"198","421D","P4","S2","T1","Dry",3,"AJIS",0.852803738317757
"199","422D","P4","S2","T2","Dry",3,"OC",0.825107810253953
"200","422D","P4","S2","T2","Dry",3,"OIM",0.830051369863014
"201","422D","P4","S2","T2","Dry",3,"OISM",0.809617658651951
"202","422D","P4","S2","T2","Dry",3,"OJIS",0.808835027365129
"203","422D","P4","S2","T2","Dry",3,"OISS",0.870967741935484
"204","422D","P4","S2","T2","Dry",3,"AC",0.871604938271605
"205","422D","P4","S2","T2","Dry",3,"AISM",0.802304964539007
"206","422D","P4","S2","T2","Dry",3,"AISC",0.878378378378378
"207","422D","P4","S2","T2","Dry",3,"AJIS",0.798051372896369
"208","423D","P4","S2","T3","Dry",3,"OC",0.842529448233106
"209","423D","P4","S2","T3","Dry",3,"OIM",0.863562533838657
"210","423D","P4","S2","T3","Dry",3,"OISM",0.848670756646217
"211","423D","P4","S2","T3","Dry",3,"OJIS",0.846969696969697
"212","423D","P4","S2","T3","Dry",3,"OISS",0.817518248175182
"213","423D","P4","S2","T3","Dry",3,"AC",0.911877394636015
"214","423D","P4","S2","T3","Dry",3,"AISM",0.87256027554535
"215","423D","P4","S2","T3","Dry",3,"AISC",0.910614525139665
"216","423D","P4","S2","T3","Dry",3,"AJIS",0.87020316027088
"217","511D","P5","S1","T1","Dry",4,"OC",0.783922829581994
"218","511D","P5","S1","T1","Dry",4,"OIM",0.803921568627451
"219","511D","P5","S1","T1","Dry",4,"OISM",0.771805273833671
"220","511D","P5","S1","T1","Dry",4,"OJIS",0.774209734069242
"221","511D","P5","S1","T1","Dry",4,"OISS",0.796407185628742
"222","511D","P5","S1","T1","Dry",4,"AC",0.847560975609756
"223","511D","P5","S1","T1","Dry",4,"AISM",0.774939172749392
"224","511D","P5","S1","T1","Dry",4,"AISC",0.810344827586207
"225","511D","P5","S1","T1","Dry",4,"AJIS",0.775633293124246
"226","512D","P5","S1","T2","Dry",4,"OC",0.837735849056604
"227","512D","P5","S1","T2","Dry",4,"OIM",0.858732876712329
"228","512D","P5","S1","T2","Dry",4,"OISM",0.854719764011799
"229","512D","P5","S1","T2","Dry",4,"OJIS",0.855167394468704
"230","512D","P5","S1","T2","Dry",4,"OISS",0.879746835443038
"231","512D","P5","S1","T2","Dry",4,"AC",0.888888888888889
"232","512D","P5","S1","T2","Dry",4,"AISM",0.849557522123894
