"","SampleID","Poligono","Sitio","Transecto","Season","LIB","Method","beta"
"1","111D","P1","S1","T1","Dry",1,"OC",0.017057931611419
"2","111D","P1","S1","T1","Dry",1,"OIM",0.0128668682459581
"3","111D","P1","S1","T1","Dry",1,"OISM",0.0191232048374905
"4","111D","P1","S1","T1","Dry",1,"OJIS",0.0202236406392474
"5","111D","P1","S1","T1","Dry",1,"OISS",0.0208030643243957
"6","111D","P1","S1","T1","Dry",1,"AC",0.00531775210084029
"7","111D","P1","S1","T1","Dry",1,"AISM",0.00513057851239673
"8","111D","P1","S1","T1","Dry",1,"AISC",0.0042024057250164
"9","111D","P1","S1","T1","Dry",1,"AJIS",0.00459525243013204
"10","112D","P1","S1","T2","Dry",1,"OC",0.0154200292476845
"11","112D","P1","S1","T2","Dry",1,"OIM",0.00933786078098464
"12","112D","P1","S1","T2","Dry",1,"OISM",0.00308843935196146
"13","112D","P1","S1","T2","Dry",1,"OJIS",0.00189964364998507
"14","112D","P1","S1","T2","Dry",1,"OISS",0.0353438340376488
"15","112D","P1","S1","T2","Dry",1,"AC",0.0125549278091651
"16","112D","P1","S1","T2","Dry",1,"AISM",0.0110739957716702
"17","112D","P1","S1","T2","Dry",1,"AISC",0.0148648648648649
"18","112D","P1","S1","T2","Dry",1,"AJIS",0.0145389088895043
"19","113D","P1","S1","T3","Dry",1,"OC",0.00169312169312164
"20","113D","P1","S1","T3","Dry",1,"OIM",0.00483594826905009
"21","113D","P1","S1","T3","Dry",1,"OISM",0.00174414571544657
"22","113D","P1","S1","T3","Dry",1,"OJIS",0.00301428306436657
"23","113D","P1","S1","T3","Dry",1,"OISS",0.0114660114660114
"24","113D","P1","S1","T3","Dry",1,"AC",0.00992063492063489
"25","113D","P1","S1","T3","Dry",1,"AISM",0.014326055795141
"26","113D","P1","S1","T3","Dry",1,"AISC",0.0121946822893195
"27","113D","P1","S1","T3","Dry",1,"AJIS",0.0129659190677628
"28","121D","P1","S2","T1","Dry",1,"OC",0.0349549599955239
"29","121D","P1","S2","T1","Dry",1,"OIM",0.0407258996686446
"30","121D","P1","S2","T1","Dry",1,"OISM",0.036936448769659
"31","121D","P1","S2","T1","Dry",1,"OJIS",0.0362952836637047
"32","121D","P1","S2","T1","Dry",1,"OISS",0.00930232558139543
"33","121D","P1","S2","T1","Dry",1,"AC",0.0163496830163496
"34","121D","P1","S2","T1","Dry",1,"AISM",0.0313852813852814
"35","121D","P1","S2","T1","Dry",1,"AISC",0.00915750915750912
"36","121D","P1","S2","T1","Dry",1,"AJIS",0.0330547112462005
"37","122D","P1","S2","T2","Dry",1,"OC",0.0874166188932455
"38","122D","P1","S2","T2","Dry",1,"OIM",0.103677295834159
"39","122D","P1","S2","T2","Dry",1,"OISM",0.12246258078599
"40","122D","P1","S2","T2","Dry",1,"OJIS",0.122152538172668
"41","122D","P1","S2","T2","Dry",1,"OISS",0.179012345679012
"42","122D","P1","S2","T2","Dry",1,"AC",0.0563443768311922
"43","122D","P1","S2","T2","Dry",1,"AISM",0.0873164530966182
"44","122D","P1","S2","T2","Dry",1,"AISC",0.0646555745607215
"45","122D","P1","S2","T2","Dry",1,"AJIS",0.0853125666887067
"46","123D","P1","S2","T3","Dry",1,"OC",0.0210352618423927
"47","123D","P1","S2","T3","Dry",1,"OIM",0.0471863484805709
"48","123D","P1","S2","T3","Dry",1,"OISM",0.0601437629309166
"49","123D","P1","S2","T3","Dry",1,"OJIS",0.061959313782658
"50","123D","P1","S2","T3","Dry",1,"OISS",0.13010752688172
"51","123D","P1","S2","T3","Dry",1,"AC",0.0180420982292014
"52","123D","P1","S2","T3","Dry",1,"AISM",0.0193541590852503
"53","123D","P1","S2","T3","Dry",1,"AISC",0.00785024154589364
"54","123D","P1","S2","T3","Dry",1,"AJIS",0.0183240654491396
"55","211D","P2","S1","T1","Dry",1,"OC",0.00309601717653363
"56","211D","P2","S1","T1","Dry",1,"OIM",0.00917103442187039
"57","211D","P2","S1","T1","Dry",1,"OISM",0.0112282959292999
"58","211D","P2","S1","T1","Dry",1,"OJIS",0.0100208185577811
"59","211D","P2","S1","T1","Dry",1,"OISS",0.00735700851864152
"60","211D","P2","S1","T1","Dry",1,"AC",0.0157855518079849
"61","211D","P2","S1","T1","Dry",1,"AISM",0.0101535413571076
"62","211D","P2","S1","T1","Dry",1,"AISC",0.0142541998981842
"63","211D","P2","S1","T1","Dry",1,"AJIS",0.00873221348319198
"64","212D","P2","S1","T2","Dry",1,"OC",0.00218356721099633
"65","212D","P2","S1","T2","Dry",1,"OIM",0.00274221568889477
"66","212D","P2","S1","T2","Dry",1,"OISM",0.00304654694898598
"67","212D","P2","S1","T2","Dry",1,"OJIS",0.00240124128337282
"68","212D","P2","S1","T2","Dry",1,"OISS",0.0530558106315683
"69","212D","P2","S1","T2","Dry",1,"AC",0.00330344502123636
"70","212D","P2","S1","T2","Dry",1,"AISM",0.000270991411656873
"71","212D","P2","S1","T2","Dry",1,"AISC",0.00033533041223277
"72","212D","P2","S1","T2","Dry",1,"AJIS",0.00230722525804494
"73","213D","P2","S1","T3","Dry",2,"OC",0.0529913469886185
"74","213D","P2","S1","T3","Dry",2,"OIM",0.0598221640230638
"75","213D","P2","S1","T3","Dry",2,"OISM",0.0726704131526534
"76","213D","P2","S1","T3","Dry",2,"OJIS",0.072923789273861
"77","213D","P2","S1","T3","Dry",2,"OISS",0.0612667685515368
"78","213D","P2","S1","T3","Dry",2,"AC",0.0594745222929935
"79","213D","P2","S1","T3","Dry",2,"AISM",0.0648113578306151
"80","213D","P2","S1","T3","Dry",2,"AISC",0.0518329070758738
"81","213D","P2","S1","T3","Dry",2,"AJIS",0.067909746976467
"82","221D","P2","S2","T1","Dry",2,"OC",0.035439791137469
"83","221D","P2","S2","T1","Dry",2,"OIM",0.0426502322519293
"84","221D","P2","S2","T1","Dry",2,"OISM",0.0467139656460045
